ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
OKTA,"Okta, Inc.",2020-08-27 0:00,TNS,-0.02,0.07,468.42,EDT,0,EQUITY
TSN,"Tyson Foods, Inc.",2020-08-03 0:00,TNS,0.94,1.4,48.31,EDT,0,EQUITY
FSLY,"Fastly, Inc.",2020-08-05 0:00,TNS,-0.01,0.02,253.85,EDT,0,EQUITY
SE,Sea Limited,2020-08-18 0:00,TNS,-0.41,-0.68,-65.85,EDT,0,EQUITY
ULTA,"Ulta Beauty, Inc.",2020-08-27 0:00,TNS,0.06,0.73,1158.62,EDT,0,EQUITY
WDC,Western Digital Corporation,2020-08-05 0:00,TNS,1.22,1.23,1.15,EDT,0,EQUITY
AMZN,"Amazon.com, Inc.",2020-07-30 0:00,TNS,1.46,10.3,605.48,EDT,0,EQUITY
HUM,Humana Inc.,2020-08-05 0:00,TNS,10.27,12.56,22.27,EDT,0,EQUITY
APHA,Aphria Inc.,2020-07-29 0:00,TNS,-0.01,-0.14,-1066.67,EDT,0,EQUITY
TSCO,Tractor Supply Company,2020-07-23 0:00,TNS,2.52,2.9,15.13,EDT,0,EQUITY
ORCL,Oracle Corporation,2020-09-10 0:00,TNS,0.86,0.93,7.89,EDT,0,EQUITY
CHGG,"Chegg, Inc.",2020-08-03 0:00,TNS,0.32,0.37,17.09,EDT,0,EQUITY
RKT,Rocket Companies Inc,2020-09-02 10:59,TNS,,,,EDT,-14400000,EQUITY
TMO,Thermo Fisher Scientific Inc.,2020-07-22 0:00,TNS,3.42,3.89,13.91,EDT,0,EQUITY
DLTR,"Dollar Tree, Inc.",2020-08-27 0:00,TNS,0.92,1.1,19.7,EDT,0,EQUITY
PLUG,Plug Power Inc.,2020-08-06 0:00,TNS,-0.1,-0.03,69.39,EDT,0,EQUITY
WMT,Walmart Inc.,2020-08-18 0:00,TNS,1.25,1.56,24.9,EDT,0,EQUITY
TJX,"The TJX Companies, Inc.",2020-08-19 0:00,TNS,-0.1,-0.18,-80,EDT,0,EQUITY
HOME,At Home Group Inc.,2020-09-01 0:00,TNS,1.31,1.41,7.8,EDT,0,EQUITY
BP,BP p.l.c.,2020-08-04 0:00,TNS,-1.1,-1.98,-79.19,EDT,0,EQUITY
BIDU,"Baidu, Inc.",2020-08-13 0:00,TNS,9.59,14.73,53.53,EDT,0,EQUITY
GOLD,Barrick Gold Corporation,2020-08-10 0:00,TNS,0.18,0.23,27.78,EDT,0,EQUITY
MIK,"The Michaels Companies, Inc.",2020-09-03 0:00,TNS,-0.08,0.3,457.14,EDT,0,EQUITY
BMO,Bank of Montreal,2020-08-25 0:00,TNS,1.71,1.85,8.12,EDT,0,EQUITY
LAKE,"Lakeland Industries, Inc.",2020-09-09 0:00,TNS,0.32,1.16,262.5,EDT,0,EQUITY
CPRT,"Copart, Inc.",2020-09-02 0:00,TNS,0.38,0.69,79.69,EDT,0,EQUITY
JD,"JD.com, Inc.",2020-08-17 0:00,TNS,2.66,3.51,31.76,EDT,0,EQUITY
FTCH,Farfetch Limited,2020-08-13 0:00,TNS,-0.35,-1.29,-268.57,EDT,0,EQUITY
AAL,American Airlines Group Inc.,2020-07-23 0:00,TNS,-7.7,-7.82,-1.51,EDT,0,EQUITY
ROKU,"Roku, Inc.",2020-08-05 0:00,TNS,-0.5,-0.35,30.28,EDT,0,EQUITY
BILI,Bilibili Inc.,2020-08-26 0:00,TNS,-1.53,-1.35,11.94,EDT,0,EQUITY
LEVI,Levi Strauss & Co.,2020-07-07 0:00,TNS,-0.49,-0.48,2.44,EDT,0,EQUITY
SJM,The J. M. Smucker Company,2020-08-25 0:00,TNS,1.67,2.37,41.58,EDT,0,EQUITY
FL,"Foot Locker, Inc.",2020-08-21 0:00,TNS,0.69,0.71,2.9,EDT,0,EQUITY
BIG,"Big Lots, Inc.",2020-08-28 0:00,TNS,2.7,2.75,1.81,EDT,0,EQUITY
CHWY,"Chewy, Inc.",2020-09-10 0:00,TNS,-0.16,-0.08,48.72,EDT,0,EQUITY
NKLA,Nikola Corporation,2020-08-04 0:00,TNS,-0.13,-0.33,-153.85,EDT,0,EQUITY
DG,Dollar General Corporation,2020-08-27 0:00,TNS,2.44,3.12,27.61,EDT,0,EQUITY
ZNGA,Zynga Inc.,2020-08-05 0:00,TNS,0.08,0.1,20.48,EDT,0,EQUITY
PEP,"PepsiCo, Inc.",2020-07-13 0:00,TNS,1.25,1.32,5.43,EDT,0,EQUITY
WDFC,WD-40 Company,2020-07-09 0:00,TNS,1.08,1.06,-1.4,EDT,0,EQUITY
WBA,"Walgreens Boots Alliance, Inc.",2020-07-09 0:00,TNS,1.17,0.83,-29.06,EDT,0,EQUITY
SWBI,"Smith & Wesson Brands, Inc.",2020-09-03 0:00,TNS,0.48,0.97,100.83,EDT,0,EQUITY
ABBV,AbbVie Inc.,2020-07-31 0:00,TNS,2.19,2.34,6.9,EDT,0,EQUITY
ZS,"Zscaler, Inc.",2020-09-09 0:00,TNS,0.03,0.05,92.31,EDT,0,EQUITY
SQ,"Square, Inc.",2020-08-04 0:00,TNS,-0.05,0.18,467.35,EDT,0,EQUITY
BJ,"BJ's Wholesale Club Holdings, Inc.",2020-08-20 0:00,TNS,0.6,0.77,27.91,EDT,0,EQUITY
ATVI,"Activision Blizzard, Inc.",2020-08-04 0:00,TNS,0.69,0.97,41.61,EDT,0,EQUITY
PNC,"The PNC Financial Services Group, Inc.",2020-07-15 0:00,TNS,0.51,8.4,1534.24,EDT,0,EQUITY
DBX,"Dropbox, Inc.",2020-08-06 0:00,TNS,0.17,0.22,28.65,EDT,0,EQUITY
LOVE,The Lovesac Company,2020-09-09 0:00,TNS,-0.48,-0.08,83.37,EDT,0,EQUITY
FIVN,"Five9, Inc.",2020-08-03 0:00,TNS,0.15,0.21,38.16,EDT,0,EQUITY
LRN,K12 Inc.,2020-08-11 0:00,TNS,0.03,0.12,328.57,EDT,0,EQUITY
JWN,"Nordstrom, Inc.",2020-08-25 0:00,TNS,-1.48,-1.62,-9.24,EDT,0,EQUITY
MRO,Marathon Oil Corporation,2020-08-05 0:00,TNS,-0.63,-0.6,5.21,EDT,0,EQUITY
GME,GameStop Corp.,2020-09-09 0:00,TNS,-1.13,-1.4,-23.35,EDT,0,EQUITY
DELL,Dell Technologies Inc.,2020-08-27 0:00,TNS,1.4,1.92,37.63,EDT,0,EQUITY
SNAP,Snap Inc.,2020-07-21 0:00,TNS,-0.09,-0.09,1.1,EDT,0,EQUITY
AMAT,"Applied Materials, Inc.",2020-08-13 0:00,TNS,0.95,1.06,11.23,EDT,0,EQUITY
